,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
0,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1,0,0,0,1,1,1,0,0
1,BUENOS AIRES,9 de Julio,Carlos María Naón,0,0,0,0,1,1,1,0,0
2,BUENOS AIRES,9 de Julio,Dudignac,0,0,1,0,1,1,1,1,0
3,BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),0,0,0,0,1,0,0,0,0
4,BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),1,0,0,1,1,1,1,0,0
5,BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),0,0,0,0,1,0,1,0,0
6,BUENOS AIRES,9 de Julio,Morea,0,0,0,0,0,0,1,1,0
7,BUENOS AIRES,9 de Julio,Norumbega,0,0,0,0,0,0,1,0,0
8,BUENOS AIRES,9 de Julio,Patricios,1,0,0,0,0,1,1,1,0
9,BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),0,0,0,1,1,1,1,1,0
10,BUENOS AIRES,Adolfo Alsina,Carhué,1,0,1,1,1,1,1,1,0
11,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,1,1,0,1,0,0
12,BUENOS AIRES,Adolfo Alsina,Delfín Huergo,0,0,0,0,0,0,0,0,0
13,BUENOS AIRES,Adolfo Alsina,Espartillar,0,0,0,0,1,0,0,0,0
14,BUENOS AIRES,Azul,Ariel,0,0,0,0,1,0,0,0,0
15,BUENOS AIRES,Azul,Azul,1,1,1,1,1,1,1,1,1
16,BUENOS AIRES,Azul,Cacharí,0,0,1,0,1,1,1,1,0
17,BUENOS AIRES,Azul,Chillar,0,0,0,0,1,1,1,1,1
18,BUENOS AIRES,Bahía Blanca,Bahía Blanca,1,1,1,1,1,1,1,1,1
19,BUENOS AIRES,Bahía Blanca,Cabildo,0,1,1,1,1,1,1,1,0
20,BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),1,1,1,1,1,1,1,1,0
21,BUENOS AIRES,Bahía Blanca,Grunbein,0,0,0,0,1,1,0,0,0
22,BUENOS AIRES,Bahía Blanca,Ingeniero White,0,0,0,1,1,1,0,0,1
23,BUENOS AIRES,General Pueyrredón,Chapadmalal,1,0,0,1,1,1,1,1,1
24,BUENOS AIRES,General Pueyrredón,El Marquesado,0,0,0,0,0,0,1,1,0
25,BUENOS AIRES,General Pueyrredón,Estacion Camet,0,0,0,0,1,1,0,0,0
26,BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,1,0,0,1,1,1,0,1,0
27,BUENOS AIRES,General Pueyrredón,Mar del Plata,1,1,1,1,1,1,1,1,1
28,BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,0,0,0,1,1,0,0,0
29,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,1,0,0,1,1,1,1,1,0
30,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,0,0,1,1,1,0,0,0
31,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,0,0,0,0,1,1,0,0,0
32,BUENOS AIRES,Pellegrini,Pellegrini,1,1,1,0,1,1,1,1,1
33,BUENOS AIRES,Pergamino,Acevedo,1,1,0,0,1,1,1,1,0
34,BUENOS AIRES,Pergamino,Fontezuela,1,0,0,1,0,0,1,1,0
35,BUENOS AIRES,Pergamino,Guerrico,0,1,0,0,1,1,0,1,1
36,BUENOS AIRES,Pergamino,Juan A. de la Peña,0,0,0,0,0,0,0,1,0
37,BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),1,0,0,1,1,1,1,1,0
38,BUENOS AIRES,Pergamino,La Violeta,1,0,0,0,1,1,1,0,0
39,BUENOS AIRES,Pergamino,Manuel Ocampo,0,0,0,1,1,1,1,1,0
40,BUENOS AIRES,Pergamino,Mariano Benítez,0,0,0,0,0,0,1,0,0
41,BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),0,0,0,0,1,1,0,0,1
42,BUENOS AIRES,Pergamino,Pergamino,1,1,1,1,1,1,1,1,1
43,BUENOS AIRES,Pergamino,Pinzón,0,0,0,0,0,0,0,1,0
44,MENDOZA,Lavalle,El Paramillo,0,0,0,0,0,0,0,0,0
45,CABA,COMUNA 12,VILLA PUEYRREDON,1,1,1,1,1,1,1,1,1
46,CATAMARCA,Ambato,Los Varela,0,0,0,0,1,0,0,0,1
47,CATAMARCA,Ambato,Singuil,0,0,0,0,1,0,0,0,0
48,CATAMARCA,Ancasti,Ancasti,0,0,0,0,1,0,1,0,1
49,CATAMARCA,Ancasti,Anquincila,0,0,0,0,0,0,0,0,0
50,CATAMARCA,Ancasti,La Candelaria,0,0,0,0,0,0,0,0,0
51,CATAMARCA,Ancasti,La Majada,0,0,0,0,0,0,0,0,0
52,CATAMARCA,Andalgalá,Aconquija,0,0,0,0,1,1,0,0,1
53,CATAMARCA,Andalgalá,Alto De Las Juntas,0,0,0,0,0,0,0,0,0
54,CATAMARCA,Andalgalá,Amanao,0,0,0,0,0,1,1,0,0
55,CATAMARCA,Andalgalá,Andalgalá,1,0,0,1,1,1,1,1,1
56,CATAMARCA,Andalgalá,Buena Vista,0,0,0,0,0,0,0,0,0
57,CATAMARCA,Andalgalá,Chaquiago,0,0,0,1,0,0,0,1,1
58,CATAMARCA,Andalgalá,Choya,0,0,0,0,0,0,0,0,0
59,CATAMARCA,Andalgalá,El Alamito,0,0,0,0,0,0,0,1,0
60,CATAMARCA,Andalgalá,El Lindero,0,0,0,0,0,0,1,0,0
61,CATAMARCA,Andalgalá,El Potrero,0,0,0,1,0,0,1,0,0
62,CATAMARCA,Andalgalá,La Aguada,0,0,0,1,0,0,0,1,0
63,CATAMARCA,Andalgalá,La Mesada,0,0,0,1,0,0,0,0,0
64,CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,0,0,0,0,1,0,1,0,1
65,CATAMARCA,Antofagasta de la Sierra,Antofalla,0,0,0,0,0,0,0,0,0
66,CATAMARCA,Antofagasta de la Sierra,El Peñón,0,0,0,0,0,0,1,0,0
67,CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,0,0,0,0,0,0,0,0,0
68,CATAMARCA,Belén,Barranca Larga,0,0,0,0,0,0,1,0,0
69,CATAMARCA,Belén,Belén,0,0,0,0,1,1,1,1,1
70,CATAMARCA,Belén,Cóndor Huasi,0,0,0,0,0,0,0,0,0
71,CATAMARCA,Belén,Corral Quemado,0,0,0,0,0,0,1,0,0
72,CATAMARCA,Belén,El Durazno,0,0,0,0,0,0,0,0,1
73,CATAMARCA,Belén,Farallón Negro,0,0,0,0,1,0,1,0,0
74,CATAMARCA,Belén,Hualfín,0,0,0,0,1,0,1,0,1
75,CATAMARCA,Belén,Jacipunco,0,0,0,0,0,0,1,0,0
76,CORDOBA,San Javier,Villa de las Rosas,0,0,0,0,1,1,0,1,0
77,CORDOBA,San Javier,Villa Dolores,1,1,0,1,1,1,1,1,0
78,CORDOBA,San Javier,Villa La Viña,0,0,0,0,0,0,0,1,0
79,CORDOBA,San Justo,Alicia,0,1,0,1,1,1,1,0,1
80,CORDOBA,San Justo,Altos de Chipión,0,0,0,1,1,1,1,0,1
81,CORDOBA,San Justo,Arroyito,1,1,0,1,1,1,1,1,1
82,CORDOBA,San Justo,Balnearia,0,0,0,0,1,1,1,0,0
83,CORDOBA,San Justo,Brinkmann,1,0,0,1,1,1,1,0,0
84,CORDOBA,San Justo,Colonia 10 de Julio,0,0,0,0,0,0,0,0,0
85,CORDOBA,San Justo,Colonia Anita,0,0,0,0,0,0,0,1,0
86,CORDOBA,San Justo,Colonia Iturraspe,0,0,0,0,0,0,0,0,0
87,CORDOBA,San Justo,Colonia Las Pichanas,0,0,0,0,0,0,0,1,0
88,ENTRE RIOS,Uruguay,Caseros,1,0,0,1,1,1,1,1,0
89,ENTRE RIOS,Uruguay,Colonia Elía,0,0,0,1,1,0,1,1,0
90,ENTRE RIOS,Uruguay,Concepción del Uruguay,1,1,1,1,1,1,1,1,0
91,ENTRE RIOS,Uruguay,Estancia San Pedro,0,0,0,0,0,0,0,1,0
92,ENTRE RIOS,Uruguay,Herrera,1,0,0,0,1,0,1,1,0
93,ENTRE RIOS,Uruguay,Las Moscas,0,0,0,1,1,0,1,1,0
94,ENTRE RIOS,Uruguay,Líbaros,0,0,0,0,0,0,1,1,0
95,ENTRE RIOS,Uruguay,Pronunciamiento,0,0,0,0,1,1,1,1,0
